iter	Passed	Remaining
0	25	25437
1	43	21943
2	60	20210
3	80	20148
4	95	19029
5	109	18147
6	123	17503
7	139	17338
8	167	18470
9	192	19061
10	213	19187
11	231	19051
12	249	18922
13	269	18988
14	285	18746
15	301	18512
16	317	18378
17	341	18604
18	358	18521
19	375	18377
20	392	18292
21	406	18054
22	422	17964
23	442	17991
24	463	18064
25	480	18016
26	496	17905
27	516	17939
28	536	17952
29	555	17970
30	575	17993
31	589	17819
32	602	17644
33	618	17572
34	637	17568
35	659	17672
36	692	18034
37	710	17989
38	727	17927
39	747	17932
40	760	17799
41	779	17786
42	795	17695
43	809	17582
44	828	17576
45	851	17664
46	869	17633
47	887	17599
48	905	17573
49	923	17539
50	937	17436
51	954	17395
52	969	17325
53	989	17336
54	1005	17281
55	1021	17218
56	1039	17199
57	1060	17216
58	1079	17219
59	1106	17333
60	1129	17379
61	1144	17318
62	1174	17465
63	1200	17555
64	1215	17478
65	1232	17441
66	1248	17392
67	1266	17363
68	1285	17347
69	1306	17359
70	1325	17342
71	1339	17268
72	1371	17422
73	1386	17356
74	1400	17275
75	1415	17214
76	1432	17174
77	1449	17129
78	1462	17051
79	1475	16963
80	1489	16903
81	1504	16843
82	1521	16815
83	1541	16811
84	1560	16794
85	1577	16768
86	1597	16764
87	1618	16776
88	1639	16779
89	1657	16762
90	1689	16878
91	1707	16850
92	1731	16882
93	1757	16936
94	1777	16933
95	1793	16888
96	1815	16899
97	1837	16915
98	1863	16964
99	1889	17009
100	1908	16984
101	1923	16933
102	1940	16898
103	1958	16875
104	1972	16813
105	1985	16746
106	1997	16674
107	2015	16649
108	2032	16613
109	2055	16628
110	2075	16624
111	2096	16618
112	2114	16596
113	2135	16597
114	2161	16633
115	2194	16720
116	2214	16711
117	2228	16658
118	2246	16629
119	2259	16571
120	2276	16540
121	2289	16475
122	2301	16411
123	2325	16425
124	2348	16440
125	2372	16453
126	2383	16382
127	2399	16345
128	2415	16310
129	2436	16308
130	2452	16266
131	2468	16233
132	2486	16207
133	2504	16184
134	2520	16152
135	2539	16133
136	2556	16104
137	2575	16089
138	2594	16070
139	2613	16056
140	2633	16045
141	2649	16011
142	2671	16012
143	2700	16052
144	2724	16063
145	2744	16051
146	2763	16035
147	2781	16013
148	2804	16017
149	2827	16022
150	2847	16008
151	2870	16015
152	2888	15991
153	2904	15955
154	2918	15912
155	2933	15869
156	2959	15891
157	2974	15852
158	2992	15826
159	3008	15792
160	3027	15779
161	3042	15739
162	3056	15696
163	3084	15724
164	3097	15676
165	3118	15670
166	3146	15694
167	3172	15711
168	3200	15734
169	3220	15722
170	3235	15685
171	3249	15641
172	3262	15594
173	3274	15542
174	3288	15500
175	3309	15494
176	3325	15462
177	3337	15411
178	3355	15389
179	3380	15397
180	3395	15364
181	3414	15346
182	3432	15325
183	3446	15285
184	3469	15283
185	3486	15258
186	3507	15247
187	3527	15237
188	3545	15215
189	3561	15183
190	3585	15187
191	3602	15161
192	3619	15135
193	3639	15120
194	3661	15116
195	3680	15098
196	3708	15116
197	3726	15094
198	3744	15073
199	3766	15065
200	3784	15045
201	3804	15029
202	3821	15004
203	3840	14986
204	3854	14946
205	3869	14916
206	3893	14915
207	3912	14896
208	3932	14885
209	3952	14867
210	3971	14849
211	3986	14817
212	4002	14786
213	4019	14764
214	4035	14733
215	4050	14701
216	4071	14692
217	4085	14655
218	4100	14621
219	4118	14600
220	4134	14571
221	4147	14534
222	4175	14549
223	4195	14535
224	4209	14499
225	4226	14474
226	4246	14459
227	4264	14440
228	4282	14417
229	4304	14409
230	4320	14383
231	4343	14378
232	4363	14362
233	4376	14326
234	4398	14318
235	4414	14291
236	4430	14262
237	4448	14242
238	4465	14219
239	4480	14188
240	4500	14172
241	4515	14143
242	4529	14110
243	4547	14090
244	4572	14092
245	4589	14067
246	4609	14053
247	4622	14016
248	4641	14000
249	4663	13991
250	4688	13989
251	4709	13980
252	4724	13949
253	4745	13937
254	4766	13925
255	4796	13940
256	4810	13906
257	4828	13885
258	4848	13871
259	4866	13851
260	4882	13823
261	4900	13804
262	4925	13801
263	4948	13794
264	4964	13769
265	4983	13751
266	5003	13737
267	5021	13716
268	5040	13696
269	5060	13681
270	5088	13689
271	5107	13669
272	5126	13651
273	5146	13635
274	5180	13656
275	5196	13630
276	5216	13615
277	5235	13598
278	5252	13574
279	5270	13551
280	5295	13548
281	5317	13538
282	5338	13526
283	5356	13505
284	5373	13481
285	5395	13469
286	5412	13446
287	5440	13449
288	5458	13428
289	5479	13415
290	5500	13401
291	5517	13377
292	5534	13353
293	5548	13324
294	5570	13312
295	5589	13294
296	5608	13274
297	5624	13249
298	5641	13226
299	5660	13207
300	5677	13184
301	5699	13172
302	5721	13161
303	5738	13138
304	5762	13130
305	5776	13101
306	5805	13104
307	5823	13083
308	5841	13063
309	5860	13044
310	5878	13022
311	5893	12995
312	5914	12981
313	5936	12968
314	5955	12951
315	5971	12924
316	5984	12894
317	6000	12868
318	6020	12852
319	6037	12830
320	6056	12810
321	6073	12788
322	6091	12766
323	6109	12747
324	6123	12718
325	6142	12699
326	6165	12690
327	6194	12690
328	6209	12664
329	6226	12642
330	6242	12616
331	6254	12584
332	6271	12561
333	6289	12540
334	6303	12513
335	6316	12481
336	6334	12462
337	6351	12439
338	6364	12408
339	6382	12389
340	6394	12357
341	6413	12340
342	6432	12321
343	6453	12306
344	6475	12294
345	6494	12276
346	6508	12247
347	6526	12227
348	6540	12199
349	6560	12184
350	6574	12156
351	6595	12141
352	6611	12117
353	6626	12093
354	6645	12074
355	6668	12063
356	6694	12057
357	6711	12036
358	6730	12016
359	6752	12004
360	6770	11984
361	6789	11965
362	6808	11948
363	6823	11922
364	6837	11894
365	6858	11880
366	6875	11859
367	6889	11831
368	6908	11813
369	6926	11794
370	6948	11781
371	6972	11770
372	6990	11751
373	7030	11768
374	7077	11796
375	7114	11807
376	7139	11798
377	7183	11820
378	7212	11817
379	7236	11806
380	7258	11793
381	7286	11788
382	7313	11781
383	7328	11756
384	7362	11760
385	7393	11760
386	7419	11752
387	7460	11766
388	7494	11770
389	7524	11768
390	7554	11766
391	7576	11750
392	7623	11774
393	7650	11767
394	7692	11782
395	7722	11778
396	7742	11760
397	7784	11773
398	7806	11757
399	7838	11758
400	7857	11737
401	7876	11716
402	7899	11702
403	7924	11690
404	7947	11676
405	7968	11657
406	7999	11655
407	8029	11650
408	8056	11640
409	8087	11638
410	8112	11626
411	8133	11607
412	8154	11590
413	8180	11579
414	8213	11578
415	8236	11562
416	8256	11542
417	8281	11531
418	8304	11515
419	8330	11503
420	8350	11484
421	8384	11483
422	8401	11459
423	8417	11435
424	8443	11424
425	8473	11417
426	8504	11411
427	8528	11398
428	8551	11382
429	8568	11358
430	8593	11345
431	8612	11323
432	8644	11320
433	8669	11305
434	8703	11304
435	8721	11282
436	8747	11269
437	8772	11255
438	8796	11240
439	8813	11217
440	8831	11194
441	8862	11188
442	8890	11178
443	8927	11179
444	8958	11172
445	8987	11164
446	9023	11163
447	9047	11148
448	9079	11141
449	9095	11116
450	9110	11089
451	9128	11067
452	9159	11059
453	9181	11041
454	9215	11037
455	9231	11012
456	9254	10996
457	9287	10990
458	9308	10971
459	9327	10949
460	9359	10943
461	9379	10922
