account_id,avg_usage_time,avg_usage_count,avg_error_count,avg_satisfaction,avg_resolution_time,avg_refund_amount,mrr_amount,arr_amount,auto_renew_flag,churn_label,industry,plan_tier,country,feedback_text,engagement_score,support_efficiency,revenue_stability,sentiment_score
A-00bed1,0.4799805726683325,0.573658034642428,0.4982698961937716,0.5,0.4330985915492958,0.07627729336311884,0.25479809785046276,0.25479809785046276,0.0,0.0,0.0,0.5,1.0,,0.4800773294766977,0.05420789746489492,1.0,1.0
A-00cac8,0.5312791841287666,0.6605006534633548,0.5030425963488844,0.7000000000000002,0.4507042253521127,0.0,0.11688106096719339,0.1168810609671934,0.0,0.0,1.0,0.5,0.0,,0.5314722217416129,0.05920116194626,1.0,1.0
A-0158bb,0.6953020106156492,0.583090379008746,0.5751633986928105,0.0,0.4366197183098592,0.011613941533953063,0.06260657460044158,0.0626065746004416,0.0,0.0,0.75,0.5,0.3333333333333333,,0.6953399397892627,0.03277216610549944,1.0,1.0
A-016043,0.47689098869456437,0.6738415731034051,0.4205256570713391,0.5,0.41314553990610325,0.305361389349283,0.12722443295740152,0.12722443295740155,0.0,1.0,0.5,0.5,0.16666666666666666,switched to competitor,0.4771193859358823,0.05799842395587078,0.0,1.0
A-019782,0.5199569107617007,0.6139941690962103,0.5133689839572192,0.0,0.1267605633802817,0.13738560207537653,0.07329212754218624,0.07329212754218623,0.0,1.0,0.25,0.0,0.5,,0.5200930529580804,0.1575757575757576,0.0,1.0
A-029f69,0.5003113111097434,0.3757809246147432,0.47058823529411764,0.0,0.5774647887323944,0.039309649059595005,0.0811350972075549,0.08113509720755488,0.0,1.0,0.0,0.0,0.16666666666666666,switched to competitor too expensive,0.5001433588990037,0.018260120585701985,0.0,0.0
A-02cd81,0.565649298773219,0.4067055393586001,0.3660130718954248,0.75,0.2300469483568075,0.0,0.18374686452288175,0.18374686452288178,0.0,1.0,1.0,1.0,0.6666666666666666,,0.5655000836260243,0.1388552188552189,0.0,1.0
A-02fac6,0.6254671879183914,0.4638869024698824,0.6037735849056604,0.5,0.31455399061032857,0.0,0.20843162684652303,0.20843162684652303,0.0,0.0,0.75,1.0,1.0,missing features,0.6253727669484704,0.0832064941653983,1.0,0.6
A-034368,0.5002844224342377,0.3963973344439813,0.8403361344537815,0.5,0.5661971830985916,0.0,0.24491897704646098,0.24491897704646104,0.0,0.0,0.5,0.0,1.0,,0.5001433588990037,0.035433854075244284,1.0,1.0
A-0354fe,0.6942249697801163,0.6344023323615162,0.6274509803921569,0.5,0.26760563380281693,0.0,0.1756129645308662,0.17561296453086622,0.0,1.0,0.0,0.5,1.0,switched to competitor,0.6943301555444054,0.10111699000587888,0.0,1.0
A-038089,0.6175082921687628,0.69533527696793,0.7058823529411764,0.33333333333333326,0.41079812206572774,0.03484182460185919,0.06481028238859915,0.06481028238859916,0.0,0.0,0.25,0.0,0.5,too expensive,0.617718263923733,0.051125635439360925,1.0,0.0
A-039727,0.6884975204038616,0.6602316602316605,0.40699523052464226,0.4722222222222221,0.4481220657276996,0.16750738632269224,0.2432046884203041,0.2432046884203041,0.0,1.0,0.5,0.0,0.0,switched to competitor,0.688638274501295,0.05043575967402701,0.0,1.0
A-0532a9,0.519040269476314,0.43877551020408134,0.5228758169934641,0.0,0.4190140845070423,0.008647402176262881,0.12924661326309125,0.12924661326309125,0.0,0.0,0.75,0.5,0.6666666666666666,too expensive,0.5189482633662262,0.03522892971711869,1.0,0.0
A-054577,0.3922490457947183,0.49329446064139937,0.5757785467128028,0.5,0.6338028169014085,0.0,0.17120287507109622,0.17120287507109622,0.0,1.0,0.5,0.5,0.8333333333333333,,0.39227000383695887,0.028789072760703964,0.0,1.0
A-05d3b3,0.5563918452323687,0.5600400874635567,0.3235294117647059,0.6666666666666665,0.42957746478873243,0.0,0.07333959292356511,0.07333959292356511,0.0,1.0,0.25,0.0,0.0,switched to competitor,0.556445606497742,0.061893004115226344,0.0,1.0
A-05f0e5,0.582737743225349,0.7061050432966365,0.646180860403863,0.5,0.26760563380281693,0.13005332564675362,0.3925592632917971,0.3925592632917971,0.0,0.0,0.75,0.0,1.0,missing features,0.5829732421684851,0.10111699000587888,1.0,0.6
