column,dtype,is_numeric,is_categorical
account_id,object,False,False
avg_usage_time,float64,True,False
avg_usage_count,float64,True,False
avg_error_count,float64,True,False
avg_satisfaction,float64,True,False
avg_resolution_time,float64,True,False
avg_refund_amount,float64,True,False
mrr_amount,float64,True,False
arr_amount,float64,True,False
auto_renew_flag,float64,True,False
churn_label,float64,True,False
industry,float64,False,True
plan_tier,float64,False,True
country,float64,False,True
feedback_text,object,False,False
engagement_score,float64,True,False
support_efficiency,float64,True,False
revenue_stability,float64,True,False
sentiment_score,float64,True,False
