industry_country_combo,total_shap_influence
HealthTech_CA,3.3651142
FinTech_DE,2.030085
DevTools_DE,1.485526
EdTech_UK,0.8757745
DevTools_UK,-0.058766294
Cybersecurity_CA,-0.2435915
Cybersecurity_DE,-0.34274903
DevTools_US,-0.5603204
FinTech_IN,-0.5670564
HealthTech_IN,-0.8028578
FinTech_US,-0.87995195
DevTools_FR,-0.94957674
HealthTech_FR,-0.980502
EdTech_US,-1.8325684
Cybersecurity_AU,-2.063121
HealthTech_US,-2.2695737
DevTools_CA,-2.5944903
Cybersecurity_US,-2.6486614
HealthTech_UK,-3.1017017
Cybersecurity_IN,-3.8678248
DevTools_AU,-4.0528755
EdTech_IN,-4.661969
FinTech_UK,-4.6701384
Cybersecurity_UK,-5.2715225
FinTech_CA,-6.7091002
FinTech_AU,-6.963737
FinTech_FR,-8.834616
DevTools_IN,-9.2144575
HealthTech_AU,-9.265485
EdTech_FR,-9.681622
EdTech_DE,-9.753213
HealthTech_DE,-9.937771
Cybersecurity_FR,-10.36499
EdTech_AU,-10.563086
EdTech_CA,-10.98766
